Region,Site,Latitude,Longitude,Elevation,Start Year,End Year,Age,Species Code,Plant Type,Family,Genus,Species,Climate Region (based on Aridity Index Value),LWCV,P50,Rooting Depth,Canopy Height,Tree Density,AWC,CEC,Ecological Memory,CV_PN_TMP,CV_EP_TMP,CV_PN_VPD,CV_EP_VPD,CV_PN_CWD,CV_EP_CWD,CV_PN_SR,CV_EP_SR,Nm,Pm,SLA
asia,russ100,65.3,69.68,35,1674,1991,317,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.169352255,-3.608966667,0.396734569,,197.9353448,1,34,,0.370937885,0.149914806,0.161416729,0.211514853,0.542402731,0.806257049,0.037979726,0.027997553,24.7597966,3.05179433,33.54235152
asia,russ101,66.22,71.67,80,1740,1990,250,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.220043188,,0.183108263,13,14.70489608,1,104,0.256481974,1.299074169,0.152615436,0.231909971,0.222869345,,,0.041969453,0.02819173,23.63164526,2.844472108,28.02684428
asia,russ102,67.25,153.7,50,1556,1991,435,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.185707334,,0.183108263,14,0,5,64,,0.848121507,0.167415184,0.131121017,0.179456231,0.155606369,0.615842508,0.010021716,0.018342956,24.88770303,3.899801565,27.99593815
asia,russ103,64.93,132.93,750,1564,1991,427,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.143191522,,0.183108263,18,33.42285513,6,78,0.161305358,0.410807043,0.208987734,0.096766343,0.110441862,0.303014912,1.556442642,0.015441644,0.022438807,26.03067262,4.669418902,27.55351843
asia,russ104,60.38,57.12,140,1680,1991,311,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Humid,0.179414806,,0.183108263,,742.7898169,1,45,,0.130219465,0.113962693,0.131027245,0.196653286,0.619156721,1.250850334,0.01564803,0.019448241,13.26136878,1.7182855,6.857653098
asia,russ105,63.62,141.35,750,1583,1991,408,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.216012634,,0.183108263,19,12.64910631,3,37,0.398202707,1.644783951,0.266492883,0.117271117,0.114571515,0.460282282,2.917998633,0.016723158,0.022929155,25.99274949,4.782235037,29.43076558
asia,russ106,70.25,138.17,80,1550,1991,441,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.178888582,,0.183108263,13,145.2835883,1,34,,0.584496001,0.179230677,0.084262808,0.146032272,0.093837573,0.390542659,0.011936908,0.020922631,28.2510987,4.939014946,33.78532597
asia,russ107,68.8,163.05,300,1538,1991,453,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.209445097,,0.183108263,10,9.259479038,6,37,0.183568879,0.392863091,0.307065819,0.09296879,0.131270015,0.165467559,0.431368717,0.022421031,0.044896936,27.44292647,4.123499644,27.98002382
asia,russ108,63.65,133.78,200,1683,1992,309,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.304243344,,0.183108263,23,194.4787198,3,37,0.149110911,1.249520408,0.481654599,0.07761621,0.08638532,0.54894051,2.046242837,0.015637901,0.024201143,25.29568277,4.29908046,25.64930775
asia,russ109,63.65,133.78,200,1714,1991,277,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Arid,0.116952469,,0.183108263,23,194.4787198,3,37,0.295821269,1.248577091,0.478067279,0.078026419,0.086438951,0.540428126,2.105231026,0.015713392,0.024335298,25.29568277,4.29908046,25.64930775
asia,russ110,67.83,130.83,750,1669,1991,322,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.242001878,,0.183108263,19,53.0036394,1,104,,0.973901781,0.263559448,0.108718957,0.110395819,0.227794822,1.217198302,0.013735924,0.016152764,26.54733685,4.610962064,28.67724652
asia,russ111,63.58,148.28,1000,1688,1991,303,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.186489356,,0,,30.22353839,1,104,,0.427590795,0.320602216,0.111389875,0.105243095,0.378021072,1.258469202,0.013758997,0.019584453,26.06370844,4.387107486,27.79523243
asia,russ112,62.22,129.35,270,1730,1991,261,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Arid,0.203276351,,0.183108263,20,279.0744552,3,37,0.191784203,0.125876103,0.112734555,0.102976437,0.150848707,0.216750523,1.358034236,0.015680844,0.021929632,16.85523625,2.341075996,14.05274239
asia,russ113,67.62,137.47,350,1565,1991,426,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.108796814,,0.183108263,18,383.4389203,1,104,0.198575396,14.39363493,0.271184816,0.088697336,0.099816674,0.212687428,0.580617685,0.013443927,0.022483731,27.749433,5.465934648,32.1450143
asia,russ114,70.95,132.98,20,1496,1991,495,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.242902445,,0.183108263,,54.35896212,1,104,,0.468897575,0.185901212,0.103424922,0.13455195,0.101884349,0.542592022,0.013337729,0.018239682,28.01222037,4.763099835,32.24196352
asia,russ115,60.27,29.58,20,1757,1990,233,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.210459564,,0.183108263,,854.5222796,6,78,,0.104590504,0.092420409,0.136170459,0.238374266,0.344563063,1.558111719,0.010478034,0.0226454,15.22538978,1.633592094,8.228142577
asia,russ116,60.38,57.12,140,1717,1991,274,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.243067927,-3.608966667,0.183108263,,742.7898169,1,45,,0.130219465,0.113962693,0.131027245,0.196653286,0.619156721,1.250850334,0.01564803,0.019448241,13.26136878,1.7182855,6.857653098
asia,russ117,60.38,57.12,140,1730,1991,261,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.274222243,,0.183108263,,742.7898169,1,45,0.318334444,0.130219465,0.113962693,0.131027245,0.196653286,0.619156721,1.250850334,0.01564803,0.019448241,13.26136878,1.7182855,6.857653098
asia,russ118,54.88,58.88,990,1671,1993,322,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.184253054,-3.608966667,0.808728161,21,896.8015239,6,21,,0.097926651,0.084337295,0.141023089,0.169878054,0.492014734,1.520000245,0.012268953,0.018434952,16.56535377,1.620424942,10.59208168
asia,russ119,65.6,50.63,70,1603,1990,387,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.23004898,,0.32043946,13,72.36920073,6,78,0.245539251,0.271966569,0.1366354,0.179141824,0.219736832,0.456383716,0.990736186,0.010844939,0.016423823,13.33442721,1.81131663,6.166367134
asia,russ120,61.27,59.33,670,1703,1993,290,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Humid,0.144918152,,0.671396963,17,265.2479038,5,64,0.557733832,0.220565438,0.162282271,0.097157115,0.146513638,1.646537095,0.915076083,0.018763085,0.021220693,12.82659116,1.567653729,5.742828815
asia,russ121,64.53,31.03,225,1578,1992,414,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.155745896,-3.608966667,0.427252613,,633.8055401,3,78,0.168863097,0.143589876,0.118760359,0.134573982,0.239231717,0.460334893,1.093937897,0.010194533,0.018173717,13.72967909,1.615731694,7.44801354
asia,russ122,66.08,77.68,50,1780,1990,210,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.268206166,,0.183108263,,0,1,45,0.376632861,0.565189323,0.151342493,0.169225306,0.232061609,0.624976069,0.649136059,0.031506393,0.022027147,24.39566278,3.020578589,31.535941
asia,russ123,65.45,60.58,400,1588,1990,402,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.255551094,,0.183108263,,387.534026,1,36,0.330639217,0.414862194,0.163581056,0.164726869,0.186505299,0.753713394,0.94664669,0.022486818,0.02199544,20.15596424,2.359344324,18.38272006
