Region,Site,Latitude,Longitude,Elevation,Start Year,End Year,Age,Species Code,Plant Type,Family,Genus,Species,Climate Region (based on Aridity Index Value),EWCV,P50,Rooting Depth,Canopy Height,Tree Density,AWC,CEC,Ecological Memory,CV_PN_TMP,CV_EP_TMP,CV_PN_VPD,CV_EP_VPD,CV_PN_CWD,CV_EP_CWD,CV_PN_SR,CV_EP_SR,Nm,Pm,SLA
asia,russ075,60.7,51.38,160,1649,1991,342,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.188226861,,0.183108263,21,703.1088257,6,78,0.268432417,0.188852878,0.123409619,0.55275836,0.151216216,0.228428553,0.598870733,0.045149221,0.011946355,13.42431441,1.784975971,6.395832295
asia,russ076,71.9,111.03,150,1625,1990,365,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.367798229,,0.183108263,16,355.136188,6,37,,0.055646205,1.968418414,66.52130732,0.158726438,0.229422747,0.265021565,0.071042707,0.025715391,28.30411783,4.398376547,35.63966796
asia,russ077,71.7,118.58,140,1708,1990,282,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.360919375,,0.183108263,,48.09993765,1,104,,0.044532444,1.379503825,7.613016275,0.107095615,0.148668784,0.169386418,0.070355684,0.010663479,27.04523263,4.417535648,30.74045337
asia,russ078,69.12,84.5,80,1624,1990,366,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.351468661,,0.183108263,,0,6,78,0.182676225,0.093850807,3.209255476,0.943177056,0.184645106,0.480056865,0.924203886,0.059055745,0.010309372,25.74137345,3.225999211,35.80700093
asia,russ079,69.12,84.5,80,1949,1990,41,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.238433274,,0.183108263,,0,6,78,0.390050156,0.1033826,2.92398875,0.576355537,0.177443118,0.277231254,1.180701996,0.089774395,0.012245071,25.74137345,3.225999211,35.80700093
asia,russ080,72.45,101.75,70,1624,1990,366,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Humid,0.308778175,,0.183108263,12,92.94509964,1,34,,0.066514406,0.538617527,7.944514472,0.156766602,0.258644197,0.326597319,0.074011162,0.038737619,27.13911009,4.054038572,32.14110302
asia,russ081,61.37,30.9,25,1715,1992,277,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.271292366,,0.183108263,,,6,21,0.384527494,0.335717346,0.113958252,0.328252997,0.140693021,0.291810301,0.390577791,0.046593867,0.009856148,13.5589,1.47259,6.60628
asia,russ082,66.08,77.68,30,1671,1990,319,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.273399868,-3.608966667,0.183108263,,0,1,45,0.302743355,0.114452925,0.565189323,0.662436247,0.169225306,0.290468127,0.624976069,0.052925085,0.031506393,24.39566278,3.020578589,31.535941
asia,russ083,63.38,32.32,210,1650,1992,342,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.171292345,-3.608966667,0.762951095,,534.1130167,6,78,0.289999029,0.233902788,0.144809316,0.30897251,0.131223044,0.290380729,0.555019152,0.047914163,0.009583633,14.01209328,1.609013347,7.664144334
asia,russ084,65.38,72.87,100,1767,1990,223,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.287002582,,0.183108263,,225.3762746,1,25,0.408883677,0.11640528,0.361430382,0.618962379,0.170329205,0.382346351,0.549846797,0.051331739,0.04280645,23.19088339,2.91841524,27.77503524
asia,russ085,61.15,136.57,600,1664,1992,328,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Arid,0.187918359,,0.183108263,21,316.1753373,3,37,-0.242373932,0.047053403,0.307016372,0.159055649,0.105780406,0.435089127,0.492795127,0.045944893,0.015693509,20.0586816,2.823286187,16.79132887
asia,russ086,61.15,136.57,600,1647,1992,345,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.201210829,,0.183108263,21,316.1753373,3,37,,0.047053403,0.307016372,0.159055649,0.105780406,0.435089127,0.492795127,0.045944893,0.015693509,20.0586816,2.823286187,16.79132887
asia,russ087,68.45,147.58,140,1579,1991,412,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.212797237,,0.183108263,17,86.1194188,1,104,,0.033166967,14.12472493,12.67196868,0.151817063,0.229717695,0.191179566,0.058326947,0.010767479,26.29959692,4.200201586,31.35123608
asia,russ088,66.22,165.42,500,1492,1991,499,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.248547353,,0.183108263,12,59.36889378,3,52,-0.263944987,0.058070764,0.833796003,0.455325598,0.182979842,0.397643096,0.291486163,0.05451389,0.024197635,26.09602011,3.921352693,28.75063312
asia,russ089,65.1,154.93,150,1554,1991,437,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.283227643,,0.183108263,15,173.4716385,3,52,0.2527521,0.034262465,3.050846352,0.114768889,0.114263023,0.320686983,0.24632805,0.052754434,0.010068362,22.00509724,3.051777677,22.395979
asia,russ090,64.53,143.12,600,1708,1991,283,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.19731991,,0.183108263,20,99.25830813,6,37,,0.033740063,11.51776071,0.380043857,0.117756134,0.321018536,0.298551974,0.050983508,0.016232457,23.78570807,4.148922377,26.06295275
asia,russ091,65.15,149.43,300,1555,1991,436,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.17158327,,0.091554131,,257.9682701,7,85,,0.033346341,1.443893976,0.156737271,0.142994004,0.313841765,0.270701577,0.053278975,0.011136986,24.78961428,3.820237398,25.59256901
asia,russ092,67.47,76.77,20,1585,1990,405,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.357537832,,0.183108263,,0,1,25,0.329344902,0.109661061,0.827592148,0.781624182,0.156307116,0.370863696,0.475283993,0.056124798,0.032945432,26.19088029,3.296423226,37.92903167
asia,russ093,68.77,32.8,140,1715,1992,277,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.236494769,-3.608966667,0.656137942,14,690.940059,1,89,0.279950065,0.188172035,0.212237669,0.253463263,0.13493888,0.334017647,0.676825345,0.057276201,0.011458986,18.96834873,2.089259344,17.1864942
asia,russ094,69.53,97.53,550,1540,1990,450,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Humid,0.372499333,,0.183108263,14,86.26465997,1,104,,0.067064794,0.969966008,0.305708473,0.127564246,0.198680254,0.405313422,0.062379114,0.032853794,26.86053093,4.02218965,28.59723668
asia,russ095,62.6,58.8,340,1616,1991,375,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Humid,0.221270752,,0.091554131,15,519.2705425,1,36,0.248815265,0.133274858,0.230284864,0.369557822,0.120640134,0.237082616,0.998348703,0.05105724,0.020413995,13.63119325,1.651499182,7.166668497
asia,russ096,68.77,32.8,140,1678,1992,314,PCAB,Gymnosperm,Pinaceae,Picea,Picea abies,Humid,0.278227524,-3.98,0.656137942,14,690.940059,1,89,,0.188172035,0.212237669,0.253463263,0.13493888,0.334017647,0.676825345,0.057276201,0.011458986,18.96834873,2.089259344,17.1864942
asia,russ097,65.35,69.52,25,1601,1991,390,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Humid,0.168245864,,0.183108263,,420.0315628,1,34,,0.118945632,0.370937885,0.494794393,0.161416729,0.333630332,0.542402731,0.050929194,0.037979726,24.7597966,3.05179433,33.54235152
asia,russ098,64.92,42.5,230,1578,1990,412,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.291324109,,0.183108263,18,638.1455812,1,36,0.236866068,0.183905911,0.181067266,0.46954619,0.145442762,0.239813885,0.460523627,0.050989669,0.00982738,13.17740436,1.737876838,5.908375836
asia,russ099,60.57,59.55,720,1612,1992,380,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.17857238,-3.608966667,0.183108263,22,663.2773286,6,21,,0.127743967,0.164536311,0.29176987,0.098189669,0.315663209,0.927857767,0.049186743,0.018689216,13.65348422,1.594584677,6.756646329
